dtime,open,high,low,close
2019-12-11 14:08:00+00:00,108.690,108.697,108.690,108.697
2019-12-11 14:09:00+00:00,108.695,108.698,108.692,108.697
2019-12-11 14:10:00+00:00,108.695,108.700,108.692,108.692
2019-12-11 14:11:00+00:00,108.690,108.692,108.684,108.685
2019-12-11 14:12:00+00:00,108.682,108.683,108.678,108.682
2019-12-11 14:13:00+00:00,108.685,108.694,108.683,108.683
2019-12-11 14:14:00+00:00,108.680,108.680,108.672,108.672
2019-12-11 14:15:00+00:00,108.676,108.678,108.673,108.676
2019-12-11 14:16:00+00:00,108.678,108.696,108.678,108.696
2019-12-11 14:17:00+00:00,108.698,108.698,108.696,108.698
2019-12-11 14:18:00+00:00,108.696,108.698,108.694,108.698
2019-12-11 14:19:00+00:00,108.701,108.701,108.698,108.700
2019-12-11 14:20:00+00:00,108.703,108.710,108.703,108.710
2019-12-11 14:21:00+00:00,108.712,108.712,108.704,108.704
2019-12-11 14:22:00+00:00,108.702,108.706,108.702,108.706
2019-12-11 14:23:00+00:00,108.709,108.714,108.707,108.712
2019-12-11 14:24:00+00:00,108.714,108.718,108.714,108.714
2019-12-11 14:25:00+00:00,108.712,108.716,108.712,108.714
2019-12-11 14:26:00+00:00,108.716,108.726,108.716,108.726
2019-12-11 14:27:00+00:00,108.724,108.724,108.716,108.716
2019-12-11 14:28:00+00:00,108.713,108.718,108.713,108.716
2019-12-11 14:29:00+00:00,108.714,108.714,108.708,108.708
2019-12-11 14:30:00+00:00,108.706,108.708,108.698,108.703
2019-12-11 14:31:00+00:00,108.700,108.700,108.690,108.696
2019-12-11 14:32:00+00:00,108.694,108.705,108.691,108.705
2019-12-11 14:33:00+00:00,108.708,108.714,108.704,108.714
2019-12-11 14:34:00+00:00,108.712,108.724,108.712,108.714
2019-12-11 14:35:00+00:00,108.716,108.718,108.704,108.704
2019-12-11 14:36:00+00:00,108.702,108.706,108.696,108.700
2019-12-11 14:37:00+00:00,108.698,108.705,108.696,108.705
2019-12-11 14:38:00+00:00,108.702,108.702,108.699,108.699
2019-12-11 14:39:00+00:00,108.696,108.717,108.696,108.714
2019-12-11 14:40:00+00:00,108.711,108.715,108.708,108.712
2019-12-11 14:41:00+00:00,108.715,108.718,108.713,108.713
2019-12-11 14:42:00+00:00,108.710,108.712,108.702,108.705
2019-12-11 14:43:00+00:00,108.702,108.702,108.688,108.688
2019-12-11 14:44:00+00:00,108.686,108.696,108.684,108.696
2019-12-11 14:45:00+00:00,108.699,108.699,108.694,108.696
2019-12-11 14:46:00+00:00,108.694,108.694,108.680,108.680
2019-12-11 14:47:00+00:00,108.683,108.690,108.680,108.690
2019-12-11 14:48:00+00:00,108.694,108.699,108.694,108.699
2019-12-11 14:49:00+00:00,108.702,108.709,108.702,108.704
2019-12-11 14:50:00+00:00,108.706,108.719,108.706,108.719
2019-12-11 14:51:00+00:00,108.716,108.716,108.700,108.700
2019-12-11 14:52:00+00:00,108.702,108.702,108.688,108.690
2019-12-11 14:53:00+00:00,108.692,108.697,108.692,108.692
2019-12-11 14:54:00+00:00,108.695,108.700,108.690,108.690
2019-12-11 14:55:00+00:00,108.692,108.694,108.690,108.694
2019-12-11 14:56:00+00:00,108.692,108.695,108.692,108.695
2019-12-11 14:57:00+00:00,108.697,108.702,108.697,108.699
2019-12-11 14:58:00+00:00,108.702,108.717,108.700,108.714
2019-12-11 14:59:00+00:00,108.717,108.722,108.710,108.714
